knob	f_base	margin_baseline	D_capacity	D_error	interaction	interaction_pct_of_additive	collapsed_both
k_obs_max	0.0001	2.198810249846641	0.4528031015177773	0.4779880309001709	0.0018207160346319	0.1956095165950095	False
k_obs_max	0.0002	1.897348567374291	0.4536288354140261	0.4788967714081291	0.0056178220162491	0.6024308582145514	False
k_obs_max	0.0006334247974475	1.394754212276315	0.4599541095751408	0.4841703293512047	0.0702050249199176	7.435992759572511	False
k_obs_max	0.001	1.194680924944033	0.4708823985421519	0.4914803398064814			True
k_obs_max	0.002	0.8876792656105568	0.5405380467252199	0.5305105665127536			True
k_obs_max	0.005	0.4550700512836946					True
C_tot	0.0001	2.198810249846641	0.0170576050877748	0.4779880309001709	0.0017253339431073	0.3485201802989688	False
C_tot	0.0002	1.897348567374291	0.0179183625292269	0.4788967714081291	0.0034857651958737	0.7016221845434482	False
C_tot	0.0006334247974475	1.394754212276315	0.0216991526481662	0.4841703293512047	0.0119605340680787	2.36435177326898	False
C_tot	0.001	1.194680924944033	0.024985164671605	0.4914803398064814	0.021416235451321	4.146692328070051	False
C_tot	0.002	0.8876792656105568	0.0346965435884787	0.5305105665127536	0.0829683062495857	14.67927504215677	False
C_tot	0.005	0.4550700512836946					True
